2016,Regions & collectivities,2016 GDP per capita,2015 GDP per capita,2014 GDP per capita,2013 GDP per capita,adm1_code
Rank,France[Note 1],"41,363","40,487","40,172","39,624",FRA-2686
1,Ile-de-France,"69,423","67,740","66,947","66,043",FRA-2665
2,Auvergne,"39,763","39,070","38,736","37,951",FRA-2670
3,Rhone-Alpes,"39,763","39,070","38,736","37,951",FRA-2661
4,Provence-Alpes-Cote d'Azur,"38,213","37,499","37,294","37,150",FRA-2671
5,Pays de la Loire,"36,729","35,686","35,257","35,136",FRA-2662
6,Brittany,"35,272","34,313","33,780","32,992",FRA-2672
7,Aquitaine,"35,000","34,508","34,326","33,112",FRA-2682
8,Limousin,"35,000","34,508","34,326","33,112",FRA-2666
9,Poitou-Charantes,"35,000","34,508","34,326","33,112",FRA-2685
10,Lower Normandy,"34,254","33,588","33,263","33,182",FRA-2673
11,Upper Normandy,"34,254","33,588","33,263","33,182",FRA-2680
12,Langedouc-Roussillon,"34,252","33,468","33,218","32,720",FRA-2668
13,Midi-Pyrenees,"34,252","33,468","33,218","32,720",FRA-2681
14,Alsace,"34,249","33,803","33,711","33,021",FRA-2687
15,Champagne-Ardenne,"34,249","33,803","33,711","33,021",FRA-2669
16,Lorraine,"34,249","33,803","33,711","33,021",FRA-2683
17,Centre-Val de Loire,"34,097","33,349","33,069","32,871",FRA-2664
18,Corsica,"33,945","32,790","32,410","32,349",FRA-2684
19,Bourgogne,"32,992","32,605","32,459","31,347",FRA-2663
20,Franche-Comte,"32,992","32,605","32,459","31,347",FRA-2667
21,Nor-Pas-de-Calais,"32,363","31,632","31,289","31,219",FRA-1265
22,Picardy,"32,363","31,632","31,289","31,219",
