id,name,adm1_code,2016 GDP per capita,2015 GDP per capita,2014 GDP per capita,2013 GDP per capita
1,Alsace,FRA-2686,"41,363","40,487","40,172","39,624"
2,Aquitaine,FRA-2665,"69,423","67,740","66,947","66,043"
3,Auvergne,FRA-2670,"39,763","39,070","38,736","37,951"
4,Basse-Normandie,FRA-2661,"39,763","39,070","38,736","37,951"
5,Bourgogne,FRA-2671,"38,213","37,499","37,294","37,150"
6,Bretagne,FRA-2662,"36,729","35,686","35,257","35,136"
7,Centre,FRA-2672,"35,272","34,313","33,780","32,992"
8,Champagne-Ardenne,FRA-2682,"35,000","34,508","34,326","33,112"
9,Corse,FRA-2666,"35,000","34,508","34,326","33,112"
10,Franche-Comte,FRA-2685,"35,000","34,508","34,326","33,112"
11,Haute-Normandie,FRA-2673,"34,254","33,588","33,263","33,182"
12,Ile de France,FRA-2680,"34,254","33,588","33,263","33,182"
13,Languedoc-Roussillon,FRA-2668,"34,252","33,468","33,218","32,720"
14,Limousin,FRA-2681,"34,252","33,468","33,218","32,720"
15,Lorraine,FRA-2687,"34,249","33,803","33,711","33,021"
16,Midi-Pyrenees,FRA-2669,"34,249","33,803","33,711","33,021"
17,Nord Pas de Calais,FRA-2683,"34,249","33,803","33,711","33,021"
18,Pays de la Loire,FRA-2664,"34,097","33,349","33,069","32,871"
19,Picardie,FRA-2684,"33,945","32,790","32,410","32,349"
20,Poitou-Charentes,FRA-2663,"32,992","32,605","32,459","31,347"
21,Provence-Alpes Cote D'Azur,FRA-2667,"32,992","32,605","32,459","31,347"
22,Rhone-Alpes,FRA-1265,"32,363","31,632","31,289","31,219"
,,,"32,363","31,632","31,289","31,219"
